resume_text,jd_text,label,jd_role,candidate_role
"Experienced DevOps Engineer with a passion for building great products. Has 6 years of professional experience. Hands-on experience with ansible, bash, ci/cd, docker, jenkins, kubernetes, linux, monitoring, terraform. Comfortable working independently or in a team.","Cloud Engineer wanted for a fast-paced, collaborative environment. Requirements: at least 1 years of relevant experience, with hands-on skills in kubernetes, ci/cd, gcp, terraform, azure. Strong communication and teamwork are a plus.",1,Cloud Engineer,DevOps Engineer
"Motivated QA Engineer eager to contribute technical expertise. 4 years working in related roles. Hands-on experience with api testing, excel, jira, manual testing, python, regression testing, selenium, test automation, test case design. Comfortable working independently or in a team.","We are hiring a QA Engineer to join our growing team. Requirements: at least 7 years of relevant experience, with hands-on skills in test case design, manual testing, jira, regression testing, test automation, python. We value problem solving and a growth mindset.",0,QA Engineer,QA Engineer
"Experienced Product Manager with a passion for building great products. 6 years working in related roles. Core skills include jira, product roadmap, scrum, stakeholder management, teamwork. Continuously learning new tools and technologies.","Join us as a Cloud Engineer and make an impact from day one. Requirements: at least 1 years of relevant experience, with hands-on skills in aws, azure, docker, ci/cd, linux, gcp, cloud security. Competitive salary and benefits offered.",0,Cloud Engineer,Product Manager
"Detail-oriented Mobile Developer with hands-on experience across projects. Brings 5 years of hands-on industry experience. Core skills include android, flutter, git, ios, kotlin, mobile ui design, react native, rest api, swift. Continuously learning new tools and technologies.","Our company is looking for an experienced Backend Developer to help us scale. The ideal candidate has 5+ years of experience and is skilled in unit testing, sql, docker, postgresql, microservices, celery, flask. Remote-friendly with flexible hours.",0,Backend Developer,Mobile Developer
"Detail-oriented Mobile Developer with hands-on experience across projects. 7 years working in related roles. Hands-on experience with android, git, ios, kotlin, swift. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 1+ years in the field and be comfortable with kotlin, react native, git, flutter, rest api, android. Competitive salary and benefits offered.",0,Mobile Developer,Mobile Developer
"Detail-oriented Backend Developer with hands-on experience across projects. 8 years working in related roles. Core skills include docker, flask, git, microservices, postgresql, rest api, unit testing. Known for strong communication and teamwork.","Join us as a QA Engineer and make an impact from day one. The ideal candidate has 2+ years of experience and is skilled in jira, python, selenium, regression testing, test automation, test case design, api testing, ci/cd. We value problem solving and a growth mindset.",0,QA Engineer,Backend Developer
"Detail-oriented Mobile Developer with hands-on experience across projects. Brings 1 years of hands-on industry experience. Core skills include flutter, git, ios, kotlin, mobile ui design, rest api. Continuously learning new tools and technologies.","Join us as a Mobile Developer and make an impact from day one. The ideal candidate has 3+ years of experience and is skilled in react native, ios, rest api, flutter, android, git, mobile ui design, swift. Competitive salary and benefits offered.",0,Mobile Developer,Mobile Developer
"Experienced Mobile Developer with a passion for building great products. Brings 2 years of hands-on industry experience. Hands-on experience with android, flutter, git, ios, kotlin, mobile ui design, penetration testing, python, rest api, swift. Continuously learning new tools and technologies.","Data Scientist wanted for a fast-paced, collaborative environment. Requirements: at least 1 years of relevant experience, with hands-on skills in sql, classification, a/b testing, python, regression, data visualization. Remote-friendly with flexible hours.",0,Data Scientist,Mobile Developer
"Experienced Backend Developer with a passion for building great products. Has 10 years of professional experience. Proficient in celery, django, docker, flask, git, postgresql, python, redis, sql, unit testing. Known for strong communication and teamwork.","Backend Developer wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in flask, git, celery, python, sql, rest api, microservices, django. Remote-friendly with flexible hours.",1,Backend Developer,Backend Developer
"Experienced Backend Developer with a passion for building great products. 4 years working in related roles. Proficient in celery, django, docker, figma, flask, git, postgresql, prototyping, python, redis, rest api, sql. Comfortable working independently or in a team.","Product Manager wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in stakeholder management, scrum, communication, data analysis, product roadmap, agile. We value problem solving and a growth mindset.",0,Product Manager,Backend Developer
"Motivated QA Engineer eager to contribute technical expertise. Brings 9 years of hands-on industry experience. Proficient in api testing, ci/cd, jira, python, test case design. Known for strong communication and teamwork.","Join us as a UI/UX Designer and make an impact from day one. Requirements: at least 1 years of relevant experience, with hands-on skills in wireframing, interaction design, usability testing, user research, figma, design systems, adobe xd. Remote-friendly with flexible hours.",0,UI/UX Designer,QA Engineer
"Detail-oriented Data Analyst with hands-on experience across projects. Brings 10 years of hands-on industry experience. Proficient in a/b testing, excel, git, ios, pandas, python, reporting, sql. Known for strong communication and teamwork.","Join us as a Mobile Developer and make an impact from day one. The ideal candidate has 2+ years of experience and is skilled in git, rest api, android, swift, ios, mobile ui design. Competitive salary and benefits offered.",0,Mobile Developer,Data Analyst
"QA Engineer with a proven track record of delivering results. Has 2 years of professional experience. Hands-on experience with ci/cd, manual testing, python, regression testing, selenium, test automation. Comfortable working independently or in a team.","QA Engineer wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in test case design, regression testing, python, api testing, ci/cd, manual testing. Remote-friendly with flexible hours.",0,QA Engineer,QA Engineer
"Experienced Cloud Engineer with a passion for building great products. Has 7 years of professional experience. Core skills include aws, azure, docker, flutter, gcp, git, linux, networking, teamwork. Comfortable working independently or in a team.","Our company is looking for an experienced Product Manager to help us scale. Requirements: at least 1 years of relevant experience, with hands-on skills in agile, stakeholder management, scrum, communication, jira, data analysis, product strategy. Strong communication and teamwork are a plus.",0,Product Manager,Cloud Engineer
"Experienced Product Manager with a passion for building great products. 4 years working in related roles. Hands-on experience with communication, jira, product strategy, scrum, stakeholder management. Known for strong communication and teamwork.","We are hiring a UI/UX Designer to join our growing team. You should have 2+ years in the field and be comfortable with user research, wireframing, interaction design, design systems, figma. Remote-friendly with flexible hours.",0,UI/UX Designer,Product Manager
"Detail-oriented UI/UX Designer with hands-on experience across projects. Has 3 years of professional experience. Hands-on experience with bash, design systems, figma, interaction design, prototyping, terraform, usability testing, user research, wireframing. Known for strong communication and teamwork.","Our company is looking for an experienced DevOps Engineer to help us scale. The ideal candidate has 1+ years of experience and is skilled in terraform, kubernetes, aws, ci/cd, bash, networking. Remote-friendly with flexible hours.",0,DevOps Engineer,UI/UX Designer
"Experienced Data Analyst with a passion for building great products. 9 years working in related roles. Core skills include data visualization, excel, pandas, power bi, python, reporting, sql, statistics, tableau, time management. Continuously learning new tools and technologies.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. Requirements: at least 7 years of relevant experience, with hands-on skills in pytorch, python, tensorflow, docker, sql, mlops. Strong communication and teamwork are a plus.",1,Machine Learning Engineer,Data Analyst
"Detail-oriented Frontend Developer with hands-on experience across projects. 1 years working in related roles. Proficient in html, mentoring, mobile ui design, redux, responsive design, swift, teamwork, webpack. Continuously learning new tools and technologies.","Frontend Developer wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in rest api, responsive design, typescript, html, accessibility, css, redux, javascript. Competitive salary and benefits offered.",0,Frontend Developer,Frontend Developer
"Machine Learning Engineer with a proven track record of delivering results. Has 1 years of professional experience. Core skills include aws, machine learning, mlops, python, pytorch, sql, tensorflow. Known for strong communication and teamwork.","We are hiring a Mobile Developer to join our growing team. The ideal candidate has 7+ years of experience and is skilled in swift, ios, react native, android, rest api, git, flutter, kotlin. Competitive salary and benefits offered.",0,Mobile Developer,Machine Learning Engineer
"Detail-oriented Product Manager with hands-on experience across projects. Has 10 years of professional experience. Core skills include agile, communication, data analysis, jira, product roadmap, product strategy, scrum, stakeholder management, user research. Continuously learning new tools and technologies.","Our company is looking for an experienced Frontend Developer to help us scale. Requirements: at least 4 years of relevant experience, with hands-on skills in typescript, rest api, accessibility, webpack, responsive design, css, redux, react. We value problem solving and a growth mindset.",0,Frontend Developer,Product Manager
"Detail-oriented Mobile Developer with hands-on experience across projects. 2 years working in related roles. Proficient in android, communication, git, kotlin, mobile ui design, react native, rest api, swift, time management. Known for strong communication and teamwork.","Join us as a Data Analyst and make an impact from day one. The ideal candidate has 7+ years of experience and is skilled in reporting, data visualization, tableau, pandas, excel, python, a/b testing, sql. Competitive salary and benefits offered.",0,Data Analyst,Mobile Developer
"Detail-oriented Data Scientist with hands-on experience across projects. Has 1 years of professional experience. Hands-on experience with classification, feature engineering, jupyter, machine learning, pandas, python, regression, scikit-learn. Comfortable working independently or in a team.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. You should have 4+ years in the field and be comfortable with aws, model deployment, pytorch, mlops, deep learning, sql, docker. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Data Scientist
"Detail-oriented Data Scientist with hands-on experience across projects. 3 years working in related roles. Core skills include a/b testing, classification, scikit-learn, sql. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. You should have 2+ years in the field and be comfortable with classification, python, machine learning, statistics, a/b testing, sql, pandas. We value problem solving and a growth mindset.",0,Data Scientist,Data Scientist
"Experienced Data Analyst with a passion for building great products. 4 years working in related roles. Core skills include excel, pandas, reporting, statistics, tableau. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. You should have 3+ years in the field and be comfortable with machine learning, feature engineering, jupyter, numpy, pandas, data visualization, a/b testing, classification. Competitive salary and benefits offered.",1,Data Scientist,Data Analyst
"Cybersecurity Analyst with a proven track record of delivering results. Has 6 years of professional experience. Proficient in compliance, firewalls, incident response, linux, network security, penetration testing, python, risk assessment, siem, teamwork, time management. Continuously learning new tools and technologies.","Our company is looking for an experienced UI/UX Designer to help us scale. You should have 2+ years in the field and be comfortable with design systems, adobe xd, user research, wireframing, usability testing. Competitive salary and benefits offered.",0,UI/UX Designer,Cybersecurity Analyst
"Experienced Cybersecurity Analyst with a passion for building great products. 5 years working in related roles. Proficient in compliance, firewalls, incident response, linux, network security, penetration testing, python, statistics. Comfortable working independently or in a team.","We are hiring a Data Analyst to join our growing team. The ideal candidate has 4+ years of experience and is skilled in power bi, python, reporting, statistics, a/b testing, data visualization, sql. We value problem solving and a growth mindset.",1,Data Analyst,Cybersecurity Analyst
"Experienced Cloud Engineer with a passion for building great products. Brings 10 years of hands-on industry experience. Hands-on experience with azure, ci/cd, cloud security, docker, jira, linux, networking, scrum, terraform. Comfortable working independently or in a team.","Our company is looking for an experienced Cloud Engineer to help us scale. The ideal candidate has 1+ years of experience and is skilled in cloud security, terraform, azure, kubernetes, ci/cd, gcp, networking. Strong communication and teamwork are a plus.",1,Cloud Engineer,Cloud Engineer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. Has 0 years of professional experience. Proficient in bash, incident response, linux, network security, networking, penetration testing, python, siem. Continuously learning new tools and technologies.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in mlops, machine learning, sql, feature engineering, pytorch. Competitive salary and benefits offered.",0,Machine Learning Engineer,Cybersecurity Analyst
"Experienced Frontend Developer with a passion for building great products. 6 years working in related roles. Proficient in accessibility, aws, communication, git, html, javascript, leadership, mlops. Comfortable working independently or in a team.","Cloud Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 1+ years of experience and is skilled in cloud security, terraform, ci/cd, gcp, azure, docker. We value problem solving and a growth mindset.",0,Cloud Engineer,Frontend Developer
"Motivated Data Analyst eager to contribute technical expertise. 2 years working in related roles. Hands-on experience with a/b testing, communication, data visualization, excel, pandas, sql, statistics, tableau. Continuously learning new tools and technologies.","Data Analyst wanted for a fast-paced, collaborative environment. Requirements: at least 6 years of relevant experience, with hands-on skills in reporting, pandas, tableau, python, sql. Strong communication and teamwork are a plus.",0,Data Analyst,Data Analyst
"DevOps Engineer with a proven track record of delivering results. 5 years working in related roles. Core skills include ansible, aws, docker, jenkins, linux, monitoring, networking. Known for strong communication and teamwork.","We are hiring a Data Analyst to join our growing team. You should have 7+ years in the field and be comfortable with a/b testing, pandas, python, tableau, reporting, data visualization, statistics, sql. We value problem solving and a growth mindset.",0,Data Analyst,DevOps Engineer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. Has 5 years of professional experience. Core skills include communication, compliance, firewalls, leadership, linux, network security, penetration testing, python, risk assessment. Continuously learning new tools and technologies.","Backend Developer wanted for a fast-paced, collaborative environment. You should have 5+ years in the field and be comfortable with docker, django, postgresql, flask, python. Strong communication and teamwork are a plus.",0,Backend Developer,Cybersecurity Analyst
"Experienced UI/UX Designer with a passion for building great products. Has 9 years of professional experience. Proficient in android, design systems, figma, flutter, interaction design, mentoring, project management, prototyping, usability testing, user research, wireframing. Known for strong communication and teamwork.","QA Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 3+ years of experience and is skilled in test case design, test automation, selenium, manual testing, regression testing. We value problem solving and a growth mindset.",0,QA Engineer,UI/UX Designer
"Data Scientist with a proven track record of delivering results. Brings 3 years of hands-on industry experience. Core skills include aws, classification, data visualization, jupyter, machine learning, model deployment, pandas, regression, sql, statistics, teamwork. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 5 years of relevant experience, with hands-on skills in machine learning, data visualization, feature engineering, sql, regression. Competitive salary and benefits offered.",0,Data Scientist,Data Scientist
"Experienced Backend Developer with a passion for building great products. Brings 5 years of hands-on industry experience. Proficient in adobe xd, celery, design systems, django, docker, flask, microservices, postgresql, python, redis, rest api, unit testing. Known for strong communication and teamwork.","We are hiring a Mobile Developer to join our growing team. Requirements: at least 7 years of relevant experience, with hands-on skills in android, mobile ui design, ios, react native, kotlin, git, swift, flutter. Strong communication and teamwork are a plus.",0,Mobile Developer,Backend Developer
"Detail-oriented DevOps Engineer with hands-on experience across projects. Brings 2 years of hands-on industry experience. Hands-on experience with ansible, aws, bash, ci/cd, docker, jenkins, kubernetes, linux, networking, terraform. Continuously learning new tools and technologies.","Our company is looking for an experienced QA Engineer to help us scale. The ideal candidate has 3+ years of experience and is skilled in jira, test case design, regression testing, manual testing, selenium. Strong communication and teamwork are a plus.",0,QA Engineer,DevOps Engineer
"Backend Developer with a proven track record of delivering results. Brings 9 years of hands-on industry experience. Hands-on experience with celery, docker, git, microservices, postgresql, problem solving, python, siem. Comfortable working independently or in a team.","Product Manager wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with data analysis, scrum, stakeholder management, product roadmap, jira, user research, product strategy. Strong communication and teamwork are a plus.",0,Product Manager,Backend Developer
"Data Analyst with a proven track record of delivering results. Brings 1 years of hands-on industry experience. Core skills include a/b testing, data visualization, jira, pandas, power bi, reporting, sql, statistics, teamwork, user research. Continuously learning new tools and technologies.","Join us as a Data Scientist and make an impact from day one. You should have 4+ years in the field and be comfortable with pandas, statistics, classification, jupyter, numpy, python, feature engineering, regression. We value problem solving and a growth mindset.",0,Data Scientist,Data Analyst
"Experienced Data Scientist with a passion for building great products. 8 years working in related roles. Core skills include aws, data visualization, feature engineering, kubernetes, machine learning, numpy, project management, scikit-learn, statistics. Continuously learning new tools and technologies.","We are hiring a QA Engineer to join our growing team. You should have 6+ years in the field and be comfortable with selenium, test case design, ci/cd, python, manual testing, api testing. Remote-friendly with flexible hours.",0,QA Engineer,Data Scientist
"Motivated DevOps Engineer eager to contribute technical expertise. 3 years working in related roles. Hands-on experience with aws, bash, ci/cd, kubernetes, monitoring, networking, terraform. Comfortable working independently or in a team.","Join us as a QA Engineer and make an impact from day one. The ideal candidate has 6+ years of experience and is skilled in manual testing, api testing, jira, regression testing, test case design, selenium. Remote-friendly with flexible hours.",0,QA Engineer,DevOps Engineer
"Experienced Product Manager with a passion for building great products. Has 6 years of professional experience. Core skills include agile, communication, mentoring, product roadmap, scrum. Comfortable working independently or in a team.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in feature engineering, deep learning, model deployment, tensorflow, aws, pytorch, docker, mlops. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Product Manager
"Motivated Cybersecurity Analyst eager to contribute technical expertise. Has 0 years of professional experience. Proficient in communication, compliance, incident response, linux, network security, penetration testing, siem. Continuously learning new tools and technologies.","Our company is looking for an experienced QA Engineer to help us scale. The ideal candidate has 3+ years of experience and is skilled in jira, regression testing, selenium, python, test automation. Competitive salary and benefits offered.",0,QA Engineer,Cybersecurity Analyst
"Experienced Mobile Developer with a passion for building great products. 10 years working in related roles. Core skills include a/b testing, android, flutter, git, kotlin, leadership, mobile ui design, react native, rest api, statistics, swift, time management. Known for strong communication and teamwork.","Join us as a Product Manager and make an impact from day one. The ideal candidate has 6+ years of experience and is skilled in agile, user research, communication, scrum, product roadmap, product strategy, stakeholder management, jira. Strong communication and teamwork are a plus.",0,Product Manager,Mobile Developer
"Backend Developer with a proven track record of delivering results. Has 7 years of professional experience. Proficient in ci/cd, django, flask, manual testing, postgresql, python, redis, rest api. Continuously learning new tools and technologies.","Cloud Engineer wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with networking, linux, aws, kubernetes, terraform. Strong communication and teamwork are a plus.",0,Cloud Engineer,Backend Developer
"Detail-oriented Product Manager with hands-on experience across projects. Brings 5 years of hands-on industry experience. Hands-on experience with agile, communication, data analysis, jira, product roadmap, scrum, teamwork, user research. Comfortable working independently or in a team.","Mobile Developer wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with react native, ios, swift, kotlin, rest api. Remote-friendly with flexible hours.",0,Mobile Developer,Product Manager
"Detail-oriented Frontend Developer with hands-on experience across projects. Brings 2 years of hands-on industry experience. Core skills include accessibility, git, html, react, redux, rest api, typescript, webpack. Known for strong communication and teamwork.","Join us as a QA Engineer and make an impact from day one. The ideal candidate has 6+ years of experience and is skilled in manual testing, ci/cd, regression testing, python, api testing, test case design, test automation. Remote-friendly with flexible hours.",0,QA Engineer,Frontend Developer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. Brings 7 years of hands-on industry experience. Core skills include compliance, firewalls, linux, network security, penetration testing, risk assessment, siem, time management. Known for strong communication and teamwork.","Our company is looking for an experienced Data Analyst to help us scale. The ideal candidate has 7+ years of experience and is skilled in python, sql, excel, data visualization, statistics, tableau, power bi, a/b testing. We value problem solving and a growth mindset.",0,Data Analyst,Cybersecurity Analyst
"Experienced Cloud Engineer with a passion for building great products. 7 years working in related roles. Core skills include azure, ci/cd, docker, flask, git, kubernetes, linux, terraform. Continuously learning new tools and technologies.","Join us as a Cloud Engineer and make an impact from day one. You should have 4+ years in the field and be comfortable with networking, kubernetes, docker, azure, aws, ci/cd, cloud security. Strong communication and teamwork are a plus.",0,Cloud Engineer,Cloud Engineer
"Experienced Backend Developer with a passion for building great products. Has 9 years of professional experience. Core skills include ci/cd, flask, git, microservices, networking, postgresql, python, redis, sql, unit testing. Continuously learning new tools and technologies.","Our company is looking for an experienced Backend Developer to help us scale. The ideal candidate has 7+ years of experience and is skilled in sql, flask, redis, postgresql, rest api, python, django. Remote-friendly with flexible hours.",1,Backend Developer,Backend Developer
"Mobile Developer with a proven track record of delivering results. 1 years working in related roles. Hands-on experience with android, flutter, git, ios, kotlin, mobile ui design, react native, rest api, swift. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. Requirements: at least 5 years of relevant experience, with hands-on skills in android, mobile ui design, rest api, kotlin, ios, swift, react native. We value problem solving and a growth mindset.",0,Mobile Developer,Mobile Developer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. 3 years working in related roles. Proficient in firewalls, incident response, linux, mentoring, network security, penetration testing, problem solving, python, risk assessment, siem. Comfortable working independently or in a team.","Join us as a Product Manager and make an impact from day one. You should have 2+ years in the field and be comfortable with product roadmap, communication, product strategy, jira, user research, scrum, stakeholder management. Strong communication and teamwork are a plus.",0,Product Manager,Cybersecurity Analyst
"Frontend Developer with a proven track record of delivering results. Brings 3 years of hands-on industry experience. Hands-on experience with bash, javascript, linux, rest api, typescript, webpack. Comfortable working independently or in a team.","Join us as a Data Analyst and make an impact from day one. The ideal candidate has 2+ years of experience and is skilled in statistics, power bi, data visualization, python, a/b testing, sql, pandas. Competitive salary and benefits offered.",0,Data Analyst,Frontend Developer
"Cybersecurity Analyst with a proven track record of delivering results. Brings 8 years of hands-on industry experience. Hands-on experience with communication, compliance, firewalls, incident response, linux, network security, penetration testing, project management, python, risk assessment, siem. Comfortable working independently or in a team.","We are hiring a Machine Learning Engineer to join our growing team. Requirements: at least 1 years of relevant experience, with hands-on skills in python, pytorch, model deployment, sql, aws, feature engineering, docker, tensorflow. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Cybersecurity Analyst
"QA Engineer with a proven track record of delivering results. Brings 5 years of hands-on industry experience. Hands-on experience with api testing, ci/cd, data analysis, manual testing, python, regression testing, scrum, selenium, test automation, test case design. Continuously learning new tools and technologies.","Cloud Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 5+ years of experience and is skilled in ci/cd, docker, azure, linux, aws, terraform, gcp, networking. We value problem solving and a growth mindset.",0,Cloud Engineer,QA Engineer
"Experienced UI/UX Designer with a passion for building great products. Has 9 years of professional experience. Proficient in adobe xd, android, communication, figma, interaction design, prototyping, rest api, user research, wireframing. Comfortable working independently or in a team.","Product Manager wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with communication, product strategy, data analysis, user research, scrum, stakeholder management, product roadmap. Strong communication and teamwork are a plus.",0,Product Manager,UI/UX Designer
"Motivated Cloud Engineer eager to contribute technical expertise. 10 years working in related roles. Core skills include ci/cd, cloud security, docker, gcp, kubernetes, linux, networking, terraform. Known for strong communication and teamwork.","Our company is looking for an experienced Frontend Developer to help us scale. You should have 5+ years in the field and be comfortable with css, webpack, rest api, responsive design, git, redux, javascript, react. Competitive salary and benefits offered.",0,Frontend Developer,Cloud Engineer
"Machine Learning Engineer with a proven track record of delivering results. Has 7 years of professional experience. Hands-on experience with aws, deep learning, feature engineering, git, mlops, model deployment, postgresql, pytorch, sql, tensorflow. Comfortable working independently or in a team.","Join us as a Machine Learning Engineer and make an impact from day one. Requirements: at least 3 years of relevant experience, with hands-on skills in machine learning, docker, aws, deep learning, mlops, model deployment, sql. Competitive salary and benefits offered.",1,Machine Learning Engineer,Machine Learning Engineer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. Brings 3 years of hands-on industry experience. Core skills include compliance, firewalls, linux, network security, penetration testing, problem solving, python, siem, time management. Continuously learning new tools and technologies.","Our company is looking for an experienced Cybersecurity Analyst to help us scale. You should have 1+ years in the field and be comfortable with penetration testing, siem, risk assessment, firewalls, python, compliance, network security. We value problem solving and a growth mindset.",0,Cybersecurity Analyst,Cybersecurity Analyst
"Detail-oriented Data Analyst with hands-on experience across projects. Brings 2 years of hands-on industry experience. Proficient in compliance, excel, linux, power bi, python, sql. Known for strong communication and teamwork.","Join us as a Backend Developer and make an impact from day one. Requirements: at least 7 years of relevant experience, with hands-on skills in unit testing, python, flask, docker, microservices, redis. We value problem solving and a growth mindset.",0,Backend Developer,Data Analyst
"Experienced Cybersecurity Analyst with a passion for building great products. Brings 9 years of hands-on industry experience. Hands-on experience with compliance, docker, firewalls, incident response, linux, mlops, network security, penetration testing, python, risk assessment, siem. Comfortable working independently or in a team.","Join us as a Cybersecurity Analyst and make an impact from day one. Requirements: at least 2 years of relevant experience, with hands-on skills in risk assessment, penetration testing, network security, firewalls, compliance, linux, incident response, python. Competitive salary and benefits offered.",1,Cybersecurity Analyst,Cybersecurity Analyst
